code,system
B18y700,readv2
B310400,readv2
B200200,readv2
B241300,readv2
B18y100,readv2
B18y300,readv2
B55y200,readv2
B486.00,readv2
B313200,readv2
B442.00,readv2
B443.00,readv2
B18y600,readv2
Byu4.00,readv2
B123.00,readv2
B550.00,readv2
B484.00,readv2
B441.00,readv2
B200300,readv2
B500000,readv2
B122.00,readv2
B241000,readv2
B4A3.00,readv2
B48y000,readv2
B550100,readv2
B212.00,readv2
B18y200,readv2
B215.00,readv2
B551100,readv2
B121.00,readv2
B550000,readv2
B55y000,readv2
B210.00,readv2
B453.00,readv2
B550z00,readv2
B550400,readv2
B500100,readv2
B211.00,readv2
B550300,readv2
B241200,readv2
B313100,readv2
B550200,readv2
B480.00,readv2
B591.00,readv2
B550500,readv2
B500200,readv2
B485.00,readv2
B200100,readv2
B16z.00,readv2
B15..00,readv2
B16..00,readv2
B15z.00,readv2
B16y.00,readv2
B25..00,readv2
B2z..00,readv2
B312.00,readv2
B312200,readv2
B54z.00,readv2
B201.00,readv2
ZV10000,readv2
B314000,readv2
ZV10012,readv2
Byu1300,readv2
B311.00,readv2
B2z0.00,readv2
B524.00,readv2
B31y.00,readv2
B315300,readv2
B20y.00,readv2
B1z..00,readv2
B313z00,readv2
B201z00,readv2
B4A..00,readv2
B312300,readv2
B45..00,readv2
B312100,readv2
B315z00,readv2
B315100,readv2
B311z00,readv2
B52..00,readv2
B20..00,readv2
B310.00,readv2
B314z00,readv2
B312z00,readv2
B310z00,readv2
B24y.00,readv2
Byu8000,readv2
Byu1200,readv2
B483.00,readv2
B21y.00,readv2
B5...00,readv2
B625000,readv2
Byu7000,readv2
Byu8200,readv2
B1z0.00,readv2
B59z.00,readv2
B626000,readv2
B55y.00,readv2
Byu9000,readv2
Byu7300,readv2
B12y.00,readv2
Byu5700,readv2
B1zy.00,readv2
B59..00,readv2
Byu7100,readv2
B52y.00,readv2
B18yz00,readv2
B5y..00,readv2
Byu2500,readv2
ByuC600,readv2
B18y.00,readv2
B5...11,readv2
ByuC000,readv2
B54y.00,readv2
B454.00,readv2
ByuB100,readv2
ByuC.00,readv2
B55yz00,readv2
C37y600,readv2
B623000,readv2
B5z..00,readv2
B45y.00,readv2
B23y.00,readv2
B24X.00,readv2
C75.8,readv2
C26.0,readv2
C38.3,readv2
C63,readv2
C57,readv2
C39.0,readv2
C75.9,readv2
C88.9,readv2
C68,readv2
B48y.00,readv2
B48z.00,readv2
B45z.00,readv2
B48yz00,readv2
B241.00,readv2
B241z00,readv2
C38.0,readv2
B451.00,readv2
B451z00,readv2
B120.00,readv2
B12..00,readv2
Byu5300,readv2
B6z0.00,readv2
Byu5B00,readv2
B59zX00,readv2
B592X00,readv2
A789511,readv2
B31z000,readv2
A789500,readv2
C46,readv2
B315.00,readv2
